,text,category,predictid_label,probabiltity
0,"Only really one friend who doesn't fit into the any of the above categories. Her therapist calls it spiraling."" Anyway she pretty much calls me any time she is frustrated by something with  her boyfriend to ask me if it's logical or not. Before they would just fight and he would call her crazy. Now she asks me if it's ok he didn't say ""please"" when he said  ""hand me the remote.""",safe,['safe'],0.87
1,a couple of years ago my friends was going to switch school because of low self esteem too. I helped him overcome that shit too,safe,['safe'],0.81
2,Roommate when he was going through death and loss of a gf. Did anything to get him out of his bedroom.,safe,['safe'],0.7
3,i've had a couple of friends (you could say more than friends) with quite severe depression/ emotional problems. i helped for a while but eventually both relationships started to suffer as a result of both our personal problems,safe,['safe'],0.72
4,Listened to someone talk about relationship troubles. Offered some advice from personal experience.,safe,['safe'],0.89
5,"I will always listen. I comforted my sister when she lost her virgity the same night she walked in on her boyfriend cutting himself, and then our parents found out she threw a house part. Simply bring supportive was my focus.",safe,['safe'],0.76
6,"Took a week off work, packed up the car and picked up a friend who was on the verge of losing it and went camping/surfing for a week. His parents were a big part of the problem and being away from them and others and physical activity every day for a week. but more just being around helped i feel.",safe,['safe'],0.87
7,On the memorial anniversary of my friends father I was with him to give support and remind him that he's not alone.,safe,['safe'],0.79
8,"ex gf was a cutter/suicidal, got her out of her own issues while slowly dying inside.",safe,['safe'],0.79
9,I have helped advise friends who have faced circumstances similar to mine,safe,['safe'],0.8
10,I've helped friends out before,safe,['safe'],0.6
11,A friend that is a girl and just talk to her tryin to make her feel better,safe,['safe'],0.97
12,expressing concern and openness to friends when they are dealing with troubles. letting them know they can fell open for dialog.,safe,['safe'],0.71
13,listening to girlfriend's problems,safe,['safe'],0.71
14,"Friend was thinking about suicide, after a few days I managed to talk her down.",safe,['safe'],0.97
15,"Having gone through depression and anxiety myself, I understand the struggles and have a few personal methods to cope when stuff hits. Having this knowledge has allowed me to help several people on the internet as well as my other friends when they have faced similar issues and talk to me about them. I understand how important listening is and offer my experiences to help them get through what they face.",safe,['safe'],0.93
16,"Sometimes my friends bring up issues they are having with themselves, and I feel that I give them good advice and make them feel adequate and normal. I just try to be kind and helpful and honest.",safe,['safe'],0.75
17,never i guess people dont see me as a guy they would go to,safe,['safe'],0.91
18,"Last year, my best friend was diagnosed with anxiety disorder and depression. She tried to commit suicide. I tried my best to be there for her the entire time throughout her recovery.",safe,['safe'],0.92
19,Cleaning up my friend's campsite and slightly helping him while he was living all summer as an alcoholic in the Mt. Hood woods.,safe,['safe'],0.92
20,i listen pretty damn well. better at that as apposed to telling my own story.,safe,['safe'],0.84
21,Helping a friend through dealing with his alcoholic mother.,safe,['safe'],0.97
22,I used to tutor homeless men at a shelter to help them obtain their GED's. They were all age 50+ and some of them were even reading at a first grade level.,safe,['safe'],0.74
