text,category,predicted_label,probability
"Only really one friend who doesn't fit into the any of the above categories. Her therapist calls it spiraling."" Anyway she pretty much calls me any time she is frustrated by something with  her boyfriend to ask me if it's logical or not. Before they would just fight and he would call her crazy. Now she asks me if it's ok he didn't say ""please"" when he said  ""hand me the remote.""",safe,safe,0.84
a couple of years ago my friends was going to switch school because of low self esteem too. I helped him overcome that shit too,safe,safe,0.78
Roommate when he was going through death and loss of a gf. Did anything to get him out of his bedroom.,safe,safe,0.77
i've had a couple of friends (you could say more than friends) with quite severe depression/ emotional problems. i helped for a while but eventually both relationships started to suffer as a result of both our personal problems,safe,safe,0.72
Listened to someone talk about relationship troubles. Offered some advice from personal experience.,safe,safe,0.88
"I will always listen. I comforted my sister when she lost her virgity the same night she walked in on her boyfriend cutting himself, and then our parents found out she threw a house part. Simply bring supportive was my focus.",safe,safe,0.72
"Took a week off work, packed up the car and picked up a friend who was on the verge of losing it and went camping/surfing for a week. His parents were a big part of the problem and being away from them and others and physical activity every day for a week. but more just being around helped i feel.",safe,safe,0.83
On the memorial anniversary of my friends father I was with him to give support and remind him that he's not alone.,safe,safe,0.7
"ex gf was a cutter/suicidal, got her out of her own issues while slowly dying inside.",safe,safe,0.79
I have helped advise friends who have faced circumstances similar to mine,safe,safe,0.74
I've helped friends out before,safe,safe,0.64
A friend that is a girl and just talk to her tryin to make her feel better,safe,safe,0.97
expressing concern and openness to friends when they are dealing with troubles. letting them know they can fell open for dialog.,safe,safe,0.71
listening to girlfriend's problems,safe,safe,0.75
"Friend was thinking about suicide, after a few days I managed to talk her down.",safe,safe,0.97
"Having gone through depression and anxiety myself, I understand the struggles and have a few personal methods to cope when stuff hits. Having this knowledge has allowed me to help several people on the internet as well as my other friends when they have faced similar issues and talk to me about them. I understand how important listening is and offer my experiences to help them get through what they face.",safe,safe,0.92
"Sometimes my friends bring up issues they are having with themselves, and I feel that I give them good advice and make them feel adequate and normal. I just try to be kind and helpful and honest.",safe,safe,0.83
never i guess people dont see me as a guy they would go to,safe,safe,0.89
"Last year, my best friend was diagnosed with anxiety disorder and depression. She tried to commit suicide. I tried my best to be there for her the entire time throughout her recovery.",safe,safe,0.92
Cleaning up my friend's campsite and slightly helping him while he was living all summer as an alcoholic in the Mt. Hood woods.,safe,safe,0.91
i listen pretty damn well. better at that as apposed to telling my own story.,safe,safe,0.8
Helping a friend through dealing with his alcoholic mother.,safe,safe,0.97
I used to tutor homeless men at a shelter to help them obtain their GED's. They were all age 50+ and some of them were even reading at a first grade level.,safe,safe,0.71
I am a high school teacher so almost everyday.,safe,safe,0.8
Friends often come to me to talk about the issues that they're facing in life.,safe,safe,0.88
"Summer camp, countless kids have the same issue. I tell them i how it is when you cant listen or are restless.",safe,safe,0.88
"Haha. In eight grade, kid got rejected twice. Wanted her to sign his yearbook but he was too nervous. I told him she doesn't really care about rejecting him and she thinks no less of him. He did it.    Probably more, but that's what comes up off the top of my head.",safe,safe,0.7
Don't have a specific example but just letting people know you're there if they want to talk.,safe,safe,0.91
Some of my friends have gone through the same type of struggle I have been through. I let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up.,safe,safe,0.84
"Friend who had big addiction issues, ended up being completely isolated, skipped school, and had a very low self esteem. I convinced him to go see a doc together, and promised him that i would go through everything with him. He went to rehab for a few months and now he's clean. But the complete lack of support from his family, from school, changed him. I think it was too late when I helped him (he was like that for 5 months) and he'll never be the same as before.",safe,safe,0.92
I've always been a good listener for people and I think a lot of people just want to be heard and not necessarily fixed. They just need to express themselves to relief their thoughts to others so they're not trapped so much within the confines of their own head.  I've always lent an ear for someone to speak to.,safe,safe,0.9
One of my best friends was diagnosed with cancer and I did as much as I could for him during that time. I visited him almost every day when he was in treatment just so he didn't have to be alone or anything. When he came back to school I helped him get caught up with school work too.,safe,safe,0.83
I don't think I'm qualified to be a serious resource for someone else.,safe,safe,0.8
Many times for my one friend who tried hard drugs (cocaine) and was dealing with depression because of girls,safe,safe,0.93
"A lot for my friends. When they have had girl problems, or have just been down in the dumps about life. I always try to look on the positive side of life, and I try to reflect that on my friends' lives as well.",safe,safe,0.81
"I'm the theripist of my friends, they always come to me",safe,safe,0.77
"My brother went through the same struggles I did, after i found help I was able to set him on the path to healing.",safe,safe,0.79
Friend got dumped by girl he had been in a relationship in for 2 years. I stayed by his side until he stopped feeling bad about it. I was there for him.,safe,safe,0.9
I open myself to any friend in need of emotional support.,safe,safe,0.97
GF and I help her through a lot of shit because I myself have been through a lot of shit.,safe,safe,0.89
